@relation output-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0,4.2.1,4.2.2}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.0,7,3,577,122,17,67,76,10,59,No
4.2.0,0,0,32,0,0,0,0,0,0,No
4.2.0,0,0,66,0,0,0,0,0,0,No
4.2.0,8,2,188,41,5,13,37,4,18,Yes
4.2.0,6,3,582,30,5,10,18,3,7,No
4.2.0,1,1,158,2,2,2,0,0,0,Yes
4.2.0,1,1,50,4,4,4,4,4,4,No
4.2.0,0,0,27,0,0,0,0,0,0,No
4.2.0,9,2,928,207,23,93,150,16,72,Yes
4.2.0,0,0,60,0,0,0,0,0,0,No
4.2.0,1,1,62,2,2,2,0,0,0,No
4.2.0,1,1,87,4,4,4,1,1,1,No
4.2.0,1,1,52,1,1,1,0,0,0,No
4.2.0,3,2,268,270,90,240,268,89,240,Yes
4.2.0,0,0,163,0,0,0,0,0,0,No
4.2.0,1,1,109,19,19,19,18,18,18,No
4.2.0,0,0,147,0,0,0,0,0,0,No
4.2.0,2,1,58,59,29,58,58,29,58,No
4.2.0,1,1,44,44,44,44,44,44,44,No
4.2.0,1,1,108,108,108,108,108,108,108,Yes
4.2.0,0,0,139,0,0,0,0,0,0,No
4.2.0,4,1,326,44,11,11,44,11,11,Yes
4.2.0,10,3,648,121,12,73,104,10,66,Yes
4.2.0,13,3,778,319,24,101,330,25,145,Yes
4.2.0,3,2,314,122,40,111,102,34,99,Yes
4.2.0,0,0,55,0,0,0,0,0,0,No
4.2.0,1,1,191,7,7,7,7,7,7,No
4.2.0,2,1,90,38,19,25,25,12,14,No
4.2.0,4,1,273,285,71,274,281,70,274,Yes
4.2.0,4,2,137,16,4,9,19,4,15,No
4.2.0,3,2,79,13,4,6,6,2,4,No
4.2.0,1,1,82,0,0,0,2,2,2,No
4.2.0,5,2,147,168,33,112,147,29,112,No
4.2.0,4,1,422,517,129,298,422,105,298,Yes
4.2.0,12,3,978,338,28,164,185,15,91,Yes
4.2.0,9,3,467,273,30,154,181,20,102,Yes
4.2.0,3,2,189,56,18,42,60,20,38,Yes
4.2.0,2,2,153,2,1,1,0,0,0,Yes
4.2.0,0,0,84,0,0,0,0,0,0,Yes
4.2.0,5,3,182,60,12,42,55,11,34,Yes
4.2.0,12,3,358,438,36,139,425,35,122,Yes
4.2.0,3,2,126,9,3,4,1,0,1,Yes
4.2.0,2,1,106,31,15,28,27,13,27,No
4.2.0,2,1,109,36,18,30,19,9,15,No
4.2.0,0,0,85,0,0,0,0,0,0,No
4.2.0,5,2,236,127,25,54,129,25,54,No
4.2.0,4,1,314,74,18,36,110,27,36,Yes
4.2.0,6,3,694,153,25,50,145,24,50,Yes
4.2.0,0,0,27,0,0,0,0,0,0,No
4.2.0,1,1,89,3,3,3,1,1,1,No
4.2.0,7,3,301,203,29,129,234,33,123,Yes
4.2.0,5,3,153,49,9,25,34,6,19,Yes
4.2.0,4,2,92,97,24,72,102,25,72,No
4.2.0,5,3,466,128,25,102,53,10,30,Yes
4.2.0,4,2,93,98,24,72,103,25,72,No
4.2.0,5,3,244,78,15,53,57,11,35,No
4.2.0,2,2,192,135,67,96,135,67,90,Yes
4.2.0,4,2,250,236,59,145,168,42,109,Yes
4.2.0,3,1,109,109,36,64,109,36,64,No
4.2.0,2,2,601,752,376,691,781,390,691,Yes
4.2.0,13,3,565,627,48,394,567,43,394,Yes
4.2.0,2,1,69,72,36,65,69,34,65,No
4.2.0,1,1,77,77,77,77,77,77,77,No
4.2.0,1,1,94,94,94,94,94,94,94,Yes
4.2.0,1,1,337,337,337,337,337,337,337,No
4.2.0,1,1,214,214,214,214,214,214,214,No
4.2.0,1,1,79,79,79,79,79,79,79,No
